,cross_val_dict,accuracy_dict,feature_importance_values,best_estimators
"XGBoost Classifier tuned ['pclass', 'parch', 'family_size', 'is_alone', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'fare', 'fare_per_person_scaled']",0.8114442995798928,0.7938931297709924,,"XGBClassifier(learning_rate=0.020584494295802447, max_depth=2, n_estimators=353,
              random_state=42)"
"LightGBM Classifier tuned ['family_size', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'multiple_cabins', 'fare_per_person_binned']",0.8114370563523107,0.8015267175572519,,"LGBMClassifier(learning_rate=0.020584494295802447, max_depth=2,
               n_estimators=353, random_state=42, verbosity=0)"
"XGBoost Classifier tuned ['pclass', 'sibsp', 'parch', 'family_size', 'fare_per_person', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'embarked_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']",0.8106185716355208,0.7938931297709924,,"XGBClassifier(learning_rate=0.020584494295802447, max_depth=2, n_estimators=353,
              random_state=42)"
"XGBoost Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size', 'sibsp']",0.8105968419527741,0.7938931297709924,,"XGBClassifier(learning_rate=0.020584494295802447, max_depth=2, n_estimators=353,
              random_state=42)"
"Random Forest Classifier tuned ['pclass', 'sibsp', 'parch', 'family_size', 'fare_per_person', 'is_alone', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'fare', 'fare_per_person_scaled']",0.8105823554976098,0.7557251908396947,,"RandomForestClassifier(max_depth=78, max_features=0.1959828624191452,
                       min_samples_leaf=8, min_samples_split=17,
                       n_estimators=758, random_state=42)"
"XGBoost Classifier tuned ['pclass', 'sibsp', 'parch', 'fare_per_person', 'deck_encoded', 'age_group_encoded', 'sex_encoded', 'embarked_encoded', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']",0.8097711140084021,0.7862595419847328,,"XGBClassifier(learning_rate=0.020584494295802447, max_depth=2, n_estimators=353,
              random_state=42)"
"Random Forest Classifier tuned ['pclass', 'sibsp', 'parch', 'family_size', 'fare_per_person', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'embarked_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']",0.8097638707808199,0.7633587786259542,,"RandomForestClassifier(max_depth=78, max_features=0.1959828624191452,
                       min_samples_leaf=8, min_samples_split=17,
                       n_estimators=758, random_state=42)"
"LightGBM Classifier tuned ['pclass', 'sibsp', 'parch', 'family_size', 'fare_per_person', 'is_alone', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'fare', 'fare_per_person_scaled']",0.8097493843256555,0.7938931297709924,,"LGBMClassifier(learning_rate=0.020584494295802447, max_depth=2,
               n_estimators=353, random_state=42, verbosity=0)"
"XGBoost Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size']",0.8097493843256555,0.8015267175572519,,"XGBClassifier(learning_rate=0.020584494295802447, max_depth=2, n_estimators=353,
              random_state=42)"
"LightGBM Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size']",0.8097493843256555,0.7938931297709924,,"LGBMClassifier(learning_rate=0.020584494295802447, max_depth=2,
               n_estimators=353, random_state=42, verbosity=0)"
